44 [0.0 1.0 1.0 0.8571428571428571 0.14285714285714285 -0.7142857142857143 206.0 6.428571428571429 2.857142857142857 0.14285714285714285 6.0 15.0 3.2857142857142856 26.714285714285715 206.0 2.2857142857142856 10.0 1.1428571428571428 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201605110047 201509110013 201507100022 201508150075 201609290015 201606260007 201601180028+0
45 [0.0 1.0 1.0 1.0 0.0 -1.0 209.22222222222223 8.666666666666666 3.0 0.2222222222222222 6.0 13.38888888888889 20.0 -1.0 209.22222222222223 1.7777777777777777 10.0 0.4444444444444444 -1.5 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -4.333333333333333 -4.333333333333333 0.0 -4.333333333333333,201507270047 201512140013 201501090035 201501090034 201602290068 201604250067 201508200062 201501050022 201501050023 201509170021 201609010025 201606210061 201604050051 201605210053 201609190013 201609270016 201507020093 201608030002+0
46 [0.0 1.0 1.0 1.0 0.0 -1.0 214.75 7.75 7.5 0.0 13.0 27.0 1.0 2.0 214.75 -99.0 10.0 0.0 0.75 2.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -6.75 -6.75 0.0 -6.75,201507270097 201507270096 201503270050 201607190047+0
47 [0.0 1.0 1.0 1.0 0.0 -1.0 95.0 10.0 6.0 0.0 8.5 16.0 14.0 113.0 95.0 -99.0 10.0 35.0 0.0 -1.0 1.0 35.0 0.0 -1.0 4.0 0.0 0.0 1.0 0.0 1.0,201611080038 201611090003+0
48 [1.0 1.0 1.0 1.0 0.0 -1.0 121.0 5.0 6.0 0.0 5.0 5.0 11.0 58.0 121.0 -99.0 10.0 0.0 0.0 -1.0 1.0 5.0 1.0 2000000.0 5.0 5.0 1.0 1.0 0.0 1.0,201607160025+4
49 [1.0 1.0 1.0 1.0 0.0 -1.0 60.0 10.0 6.0 0.0 11.4 22.6 14.2 107.4 60.0 -99.0 10.0 0.0 0.0 -1.0 1.0 2.0 0.0 -1.0 7.0 -99.0 -1.8 -1.8 0.0 -1.8,201609240027 201610010004 201609240028 201609230023 201504010111+0
50 [1.0 1.0 1.0 1.0 0.0 -1.0 160.0 5.0 6.0 0.0 5.0 5.0 2.0 15.0 160.0 -99.0 10.0 1.0 0.0 -1.0 1.0 3.0 1.0 1330050.0 6.0 2.0 0.0 0.0 0.0 0.0,201503310053+7
51 [0.0 1.0 1.0 0.15151515151515152 0.8636363636363636 0.7878787878787878 213.53030303030303 9.121212121212121 2.606060606060606 0.0 5.848484848484849 9.787878787878787 3.9696969696969697 33.43939393939394 213.53030303030303 -99.0 10.0 0.4393939393939394 0.24242424242424243 0.07575757575757576 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201610270038 201502110086 201509040028 201609200006 201510290073 201510290072 201511230076 201511230077 201511230074 201511230075 201511230073 201504210063 201504050030 201504210069 201506260092 201605060041 201605270041 201505020010 201505020013 201505110089 201505170039 201503190067 201503190064 201503190060 201604180036 201505290038 201501150059 201511240064 201502280049 201503150038 201503150039 201512100019 201512100018 201503200045 201503200046 201512100015 201512100017 201512100016 201603120035 201503190059 201511140049 201510260032 201510260033 201508040093 201508200048 201504270081 201504290047 201506010045 201503240071 201601090035 201503150040 201501130028 201512100020 201612140051 201603010051 201510140024 201503030057 201503030056 201503030055 201503030054 201502280048 201503230061 201503230062 201512030032 201508270078 201510150029+0
52 [0.5 1.0 1.0 0.5 0.5 0.0 229.0 11.0 6.0 0.0 11.0 25.0 4.0 34.0 229.0 -99.0 10.0 1.0 0.0 -1.0 1.0 1.5 0.0 -1.0 5.0 0.5 0.5 0.5 0.0 0.5,201512250043 201505160101+0
53 [0.038461538461538464 1.0 1.0 1.0 0.0 -1.0 197.26923076923077 8.884615384615385 6.576923076923077 0.0 8.615384615384615 19.653846153846153 13.923076923076923 65.03846153846153 197.26923076923077 -99.0 10.0 0.11538461538461539 0.7307692307692307 1.9230769230769231 0.07692307692307693 -0.5384615384615384 -0.9230769230769231 -1.0 -0.6153846153846154 -0.6923076923076923 -9.0 -9.0 0.0 -9.0,201510160055 201508140144 201510270108 201512090040 201510130053 201511070044 201603120062 201510210069 201509090084 201604090036 201606190039 201510170063 201606190040 201603120063 201504030085 201510230068 201603120064 201604250036 201511150058 201506190075 201511050054 201512200042 201606010055 201510230067 201609250038 201603120065+0
